Q4,Q1,Q2,Q3,Department,PMO - Led,Project,Size,Project,PMO Led,Quarter
"As we noted previously, David, Jay-Ar, and the team did a great job in advising and delivering an attractive web page with a keen focus on navigation and ease of use for targeted users. If there is one thing we could have improved on, is that there were probably some things we could have done better to decrease the length of time it took to execute, or, better communicate a reasonable expected delivery date. Many thanks to the whole team!",Strongly agree,Somewhat agree,Strongly agree,,No,School of Medicine Website Redesign,Medium,,,FY2020-21 Q3
"This was perhaps an unusual project for SOM IT. It was breaking new ground, where everyone involved on all sides (stakeholder and IT sides) was learning how to carry out this kind of project. Nevertheless, the greatest barrier for this project, in my opinion, has been not having staff within SOM IT with the understanding and vision on how to carry out this project. Everyone tried hard and were good to work with, but the vision and appropriate execution never came together.",Somewhat disagree,Somewhat disagree,Somewhat agree,,No,Curriculum Evaluation,Small,,,FY2020-21 Q1
"Lakhesh managed and lead the team of contractors through the checks and balances of the cold fusion transition, from testing thoroughly each application to the execution and implementation of the software upgrades. Adjustments are being made as deemed necessary, great client support continues at a high level. Well-done",Strongly agree,Strongly agree,Strongly agree,,No,Family Medicine Cold Fusion 2018 Upgrade,Large,,,FY2020-21 Q1
"The Team was responsive, thoroughly listened to our needs, timely, approachable, and flexible. And they did all of this with good cheer and a commitment to excellence. I feel very fortunate to have had the Team working with us through the transition and in the future!",Strongly agree,Strongly agree,Strongly agree,,No,Family Medicine Cold Fusion 2018 Upgrade,Large,,,FY2020-21 Q1
"Some early meetings were less successful but become more so as we progressed.  I might recommend sending the client samples, screen shots or in development URL in advance of meetings to give the customer the time to review in advance.  If something isn't as desired, there is more opportunity to consider options, determine how to better describe what's desired, and how to frame it well to the developer to avoid hurt feelings.  ""Unveilings"" don't work well for everyone.  Thanks!",Strongly agree,Strongly agree,Somewhat agree,,No,Children's Clinical Care Portal,Extra Small,,,FY2020-21 Q1
"",Strongly agree,Strongly agree,Strongly agree,,No,LCCC Forte EDC Implementation,Extra Small,,,FY2020-21 Q1
"I believe that at times, there was not a clear resolution on certain things between us and the IT group. 

1- I stated that we need the current site completely overhauled and a number of new tabs added. But this was not caught by the IT folks. and they thought the site woudl have the same tabs as previously. This caused a difference in estimate for fee. But it was fine for additional fees to be spent bc I knew this was a huge effort. 

2- As we worked, at times the IT staff moved forward when I did not realize they woudl. This was not appropriate at time bc the final version had not yet been confirmed. This was likely again a communication issue . I did not understand her process for developing the site... and she did not understand the process I had to go through for document approval. This caused a repeat of work. It improved when others workign on the project were removed and it was the IT person and myself workign to finish off the site. 

Despite these issues... we are extremely please with the results AND very impressed with the job that Ivy did. She was good about giving things a try that we a were uncertain on how to do it. And if she did not know the answer, she searched it out for us. I am confident in recommending your group to those who need extensive help as we did. 
Amy Perou",Strongly agree,Somewhat agree,Strongly agree,,No,Web Redesign - HTSF,Extra Small,,,FY2020-21 Q1
"The web developer, Jay-Ar was fantastic. He was always in communication, very responsive and the work came out beautifully. We're very happy. We just wish the cost was communicated to us a lot sooner, not once the project was near complete.",Strongly agree,Somewhat agree,Somewhat agree,,No,Web Redesign - Psychiatry,Extra Small,,,FY2020-21 Q1
"",Somewhat agree,Somewhat agree,Somewhat agree,,No,ATS Room Technology Standardization,Extra Large,,,FY2020-21 Q1
When doing projects will outside companies it would be a good idea to check to see if the project is up and running to the standards of your department. Don't wait until they are done because this would save a lot of time having you going back to fix something that doesn't work or having them come back. Do trial runs. Your department is the ones who know how the equipment should function because that is your expertise. If you have to pay your staff overtime it will be worth it in the end.  Keep up the excellent job of maintaining all the conference rooms.,Strongly disagree,Neither agree nor disagree,Somewhat disagree,,No,ATS Room Technology Standardization,Extra Large,,,FY2020-21 Q1
"I think overall we could use a little more help at the front end of the planning.  There were a lot of meetings we had missed until it became apparent that we were needed because we were just not invited?  I don't think it's the fault of the IT team, but knowing what we know now, it will be helpful knowing / advocating for more involvement.",Somewhat agree,Strongly agree,Somewhat agree,,Yes,Berryhill Relocation,Extra Large,,,FY2019-20 Q3
"",Strongly agree,Strongly agree,Strongly agree,,Yes,Berryhill Relocation,Extra Large,,,FY2019-20 Q3
"Not sure I know the scope of the project? The screen sharing worked well and sound was fine. I had no problems, but I also only used the 1 room a few times (sorry, can't remember the #). It went well, though!",Somewhat agree,,Somewhat agree,,No,Mary Ellen Jones,Extra Large,,,FY2019-20 Q3
"",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,No,Mary Ellen Jones,Extra Large,,,FY2019-20 Q3
"",Somewhat agree,Somewhat disagree,Somewhat disagree,,No,Mary Ellen Jones,Extra Large,,,FY2019-20 Q3
David and Ivy were amazing to work with.  The project went through multiple rounds of revisions as it was socialized with varying stakeholders.  David and Ivy were tolerant of input from multiple parties and incredible responsive to the myriad of requests.  The final product is an excellent depiction of our new governance model with appropriate sensitivities to perceived inequities between the academic and clinical teams.,Strongly agree,Strongly agree,Strongly agree,,No,Dean's Office Governance Model Graphic,Extra Small,Dean's Office Governance Model Graphic,,FY2020-21 Q1
Michael was the best project manager.  Several people commented to me throughout the project that they appreciated Michael's management of and dedication to the project.,Strongly agree,Strongly agree,Strongly agree,,Yes,Student Success Platform,Extra Large,,,FY2020-21 Q1
"I think it will take some time for it to go live and really work with it to determine whether the platform achieves its goals.  I can, however, say that Michael did a really great job managing the project and keeping us on track.
Johanna",Somewhat agree,Strongly agree,Strongly agree,,Yes,Student Success Platform,Extra Large,,,FY2020-21 Q1
"",Strongly agree,Strongly agree,Strongly agree,Project Management Office,Yes,DocuSign System Validation,Extra Small,DocuSign System Validation,,FY2020-21 Q3
"I think there was a little confusion in the beginning as to the best way to relay/receive information between the players.  Once the consultants were able to access the Teams site, things went a great deal more smoothly.",Strongly agree,Strongly agree,Strongly agree,Project Management Office,Yes,DocuSign System Validation,Extra Small,DocuSign System Validation,,FY2020-21 Q3
"the IT team was awesome and incredible helpful ",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Web Design: Sports Medicine Institute,Extra Small,Web Design: Sports Medicine Institute,,FY2020-21 Q3
"",Strongly agree,Strongly agree,Strongly agree,Project Management Office,Yes,DocuSign System Validation,Extra Small,DocuSign System Validation,,FY2020-21 Q3
"Lakhesh manages projects professionally and qualitatively. He and his team focuses on the details of the work and incorporates touchpoints with the stakeholders, keeping stakeholders abreast of substantive and minor details.
",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Family Medicine Health Risk Assessment Changes,Medium,Family Medicine Health Risk Assessment Changes,,FY2020-21 Q3
Great work!,Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Family Medicine Blue Cross Blue Shield Update,Small,Family Medicine Blue Cross Blue Shield Update,,FY2020-21 Q3
"They are terrific to work with: responsive, excellent communication and follow-through. 

Thanks so much!",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Family Medicine Health Risk Assessment Changes,Medium,Family Medicine Health Risk Assessment Changes,,FY2020-21 Q3
"",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Family Medicine Blue Cross Blue Shield Update,Small,Family Medicine Blue Cross Blue Shield Update,,FY2020-21 Q3
"",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Website Redesign: CGIBD,Extra Small,Website Redesign : CGIBD,,FY2020-21 Q3
"",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Go NAPSACC Enhancements Phase 3: Training Models,Extra Large,Go NAPSACC Enhancements Phase 3: Training Modules,,FY2020-21 Q4
"Happy with the final product - thank you! ",Strongly agree,Neither agree nor disagree,Somewhat agree,"Application, Website, and Data",No,NC Matters Website,Large,NC Matters Website,,FY2020-21 Q4
"",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Family Medicine Health Risk Assessment Changes,Medium,Family Medicine Health Risk Assessment Changes,,FY2020-21 Q4
"",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Family Medicine Health Risk Assessment Changes,Medium,Family Medicine Health Risk Assessment Changes,,FY2020-21 Q4
"",Strongly agree,Strongly agree,Strongly agree,Academic Technology Services,No,Trauma Services VR Training Phase 2,Large,Trauma Services VR Training Phase 2,,FY2020-21 Q4
"",Strongly agree,Somewhat agree,Strongly agree,Academic Technology Services,No,Trauma Services VR Training Phase 2,Large,Trauma Services VR Training Phase 2,,FY2020-21 Q4
This team is awesome. The group is streamlined for maximal effort and results. Excited to work/collaborate with them.,Strongly agree,Strongly agree,Strongly agree,Academic Technology Services,No,Trauma Services VR Training Phase 2,Large,Trauma Services VR Training Phase 2,,FY2020-21 Q4
"",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Website Redesign: Pediatrics (Phase 2),Extra Small,Website Redesign: Pedatrics (Phase 2),,FY2021-22 Q1
"It would have been helpful to have meeting prior or directly after the IT group meetings earlier in the project.  Once regular meetings were established, communication and progress was very efficient.",Strongly agree,Strongly agree,Somewhat agree,Infrastructure and Operations,No,Omero Microscopy Software,Large,Omero Microscopy Software,,FY2021-22 Q1
Your team did a fantastic job of leading us through this process. Everything was extremely organized and moved forward in a timely way. We especially appreciate your flexibility as we involved different stakeholder groups. Thank so much!,Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Website Redesign: OIE/ODEI Phase 2,Medium,Website Redesign: OIE/ODEI Phase 2,,FY2021-22 Q1
Ian does exceptional work and is such a pleasure to work with.,Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Go NAPSACC Enhancements Phase 4 -,Large,Go NAPSACC Enhancements Phase 4 -,,FY2021-22 Q1
"Ian continues to rock the development projects needed to enhance the GNS website. Also Sylvia has been fantastic as a scrummaster and PM for these projects, keeping everyone on track and collaborating with the stakeholder.",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Go NAPSACC Enhancements Phase 4 -,Large,Go NAPSACC Enhancements Phase 4 -,,FY2021-22 Q1
"Jeff was able to keep the entire team informed and we completed the project on time. ",Strongly agree,Strongly agree,Strongly agree,Project Management Office,Yes,REDCap Cloud System Validation,Small,REDCap Cloud System Validation,,FY2021-22 Q1
"",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Website Redesign: OIE/ODEI Phase 2,Medium,Website Redesign: OIE/ODEI Phase 2,,FY2021-22 Q1
"",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Website Redesign: OIE/ODEI Phase 2,Medium,Website Redesign: OIE/ODEI Phase 2,,FY2021-22 Q1
Thank you for your team's work on getting the Part 11 validation complete for the REDCap Cloud system.  The SoM IT Team / PMO did a great job with their role in this project.,Strongly agree,Strongly agree,Strongly agree,Project Management Office,Yes,REDCap Cloud System Validation,Small,REDCap Cloud System Validation,,FY2021-22 Q1
"It was truly great working with this team! They made a daunting & cumbersome project feel manageable ",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Website Redesign: OIE/ODEI Phase 2,Medium,Website Redesign: OIE/ODEI Phase 2,,FY2021-22 Q1
Very professional and  easy to work and communicate with throughout the entire process. Very pleased. Thank you.,Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Website Redesign: Cassidy Plasticity Lab,Extra Small,Website Redesign: Cassidy Plasticity Lab,,FY2021-22 Q1
"Very, very pleased with the final product. Communication between myself and SOM IT was wonderful.",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Website Redesign: Neuro Step Up,Extra Small,Website Redesign: Neuro Step Up,,FY2021-22 Q1
"",Strongly agree,Strongly agree,Strongly agree,Office of Clinical Trials,Yes,Adobe Sign System Validation,Small,Adobe Sign System Validation,,FY2021-22 Q2
"none, thanks!",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Go Napsacc SFTP Transfer,Medium,Go Napsacc SFTP Transfer,,FY2021-22 Q2
"",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Go Napsacc SFTP Transfer,Medium,Go Napsacc SFTP Transfer,,FY2021-22 Q2
"",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Wellness at Work Portal Migration,Small,Wellness at Work Portal Migration,,FY2021-22 Q2
"David, Brad and team were a pleasure to work with. Capable, competent, organized, responsive, and motivated to do a great job. It of course took a bit longer than I had imagined, though the end product looks great.

One area for improvement is that the initial project plan document was way too long and detailed to be read thoroughly, and I felt later used a bit along the lines of ""gotcha"" (e.g.,  it was in the project plan that you should of read more carefully). I'm not sure how to reconcile the tension between having something comprehensive, but not too long and detailed that it is overwhelming.",Strongly agree,Somewhat agree,Strongly agree,"Application, Website, and Data",No,Department of Medicine Website Redesign,Small,Department of Medicine Website Redesign,,FY2021-22 Q2
"Everybody has been great to work with - on the ball, skilled at managing any technical challenges, very collaborative. Sylvia and Ravi have done an incredible job keeping all the moving pieces of this project on track (or ahead of schedule!). ",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Dean's Dashboard September Release,Large,Dean's Dashboard September Release,,FY2021-22 Q2
"",Strongly agree,Somewhat agree,Strongly agree,Global Health and Infectious Disease,Yes,Adobe Sign System Validation,Small,Adobe Sign System Validation,,FY2021-22 Q2
Thank you all!,Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Web Redesign ASAP,Extra Small,Web Redesign: ASAP (Advancing Social-Communication and Play),,FY2021-22 Q2
"",Strongly agree,Strongly agree,Strongly agree,Academic Technology Services,Yes,4th Year Registration Lottery Implementation,Large,4th Year Registration Lottery Implementation,,FY2021-22 Q3
"",Strongly agree,Somewhat agree,Somewhat agree,Pediatrics - Hematology/Oncology (PHO),Yes,Florence eBinder System Validation,Small,Florence eBinder System Validation,,FY2021-22 Q3
"",Strongly agree,Strongly agree,Strongly agree,UNC Research - Office of Clinical Trials (OCT),Yes,Florence eBinder System Validation,Small,Florence eBinder System Validation,,FY2021-22 Q3
"The project plan was way too long. I understand this is necessary for ""CYA"" purposes, but too long for non-technical folks like me to actually read. Otherwise the team was great and the end product outstanding.",Strongly agree,Somewhat agree,Strongly agree,"Application, Website, and Data",No,Web Redesign: GI Division,Small,GI Website Redesign,,FY2021-22 Q3
"",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,Website Redesign: GI Division,Small,GI Website Redesign,,FY2021-22 Q3
The project was very organized and had great project management from inception to recommendation.,Strongly agree,Strongly agree,Strongly agree,Academic Technology Services,Yes,Hoteling Software Evaluation,Small,Hoteling Software Evaluation,,FY2021-22 Q3
Not really toward the SOM IT but the project did take a very long time because of a lot of outlying factors. Mainly Hospital IT I think.,Strongly agree,Somewhat agree,Strongly agree,"Application, Website, and Data",No,QGenda Department of Surgery Integration,Small,QGenda Department of Surgery Integration,,FY2021-22 Q3
Great team to work with all around!!,Strongly agree,Neither agree nor disagree,Strongly agree,"Application, Website, and Data",No,Go NAPSACC Laravel Update,Medium,Go NAPSACC Laravel Update,,FY2021-22 Q3
the AWD team was very responsive and helpful,Somewhat agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,IT REQ Cloud Migration,Extra Small,IT REQ Cloud Migration,,FY2021-22 Q3
"",Somewhat agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,IT REQ Cloud Migration,Extra Small,IT REQ Cloud Migration,,FY2021-22 Q4
"",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,IT REQ Cloud Migration,Extra Small,IT REQ Cloud Migration,,FY2021-22 Q4
"Appreciate the timely communication, and we are happy with the final product!",Strongly agree,Neither agree nor disagree,Strongly agree,"Application, Website, and Data",No,CASP Search Filter,Extra Small,CASP Search Filter,,FY2021-22 Q4
This was a well managed/organized project. The goals were met very efficiently.  All stakeholders were included and feedback was encouraged & incorporated.  Amy did an excellent job!,Strongly agree,Strongly agree,Strongly agree,Project Management Office,Yes,,Extra Small,CFR Part 11 evaluation and selection,,FY2021-22 Q4
"",Strongly agree,Strongly agree,Strongly agree,,,,,,,FY2022-23 Q1
"David, Brad, Kayla, Morgan, and everyone I worked with were all great. This team did a really awesome job of keeping the project in hand and on track. Communication was always clear and meetings were always fruitful. Job well done, all around!

On a personal note, thanks for all the hard work on this project. Everyone in Geriatrics loves the new site. Thanks!",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,,Small,Web Redesign: Geriatric Medicine Division,,FY2022-23 Q1
"David Kinton and his team (Kayla Guilliams and Brad Olsen) did a truly amazing job of helping us navigate the re-design of the DOM's website for the Division of Rheumatology, Allergy & Immunology. From the very earliest planning discussions, all the way through testing and launch, he and his team were 100% professional, responsive and accurate in everything they did. Due to their excellent project management and clear communications, we completed the entire project in a little over 2 months, which was crucial because we needed to have it updated in time for our Fellowship recruiting season. I've worked with David Kinton several times over my past 6 years at UNC and I have never seen a better IT/Web manager, either here or in my previous jobs. He has the perfect blend of IT savvy, with outstanding communications and ""people"" skills, and is a fantastic team manager. We are very lucky to have him leading our projects!  ",Strongly agree,Strongly agree,Strongly agree,"Application, Website, and Data",No,,Small,Web Redesign: Rheumatology Division,,FY2022-23 Q1
